¿Cómo se llama el lenguaje xml de intercambio de información entre herramientas CASE?,XMI (https://en.wikipedia.org/wiki/XML_Metadata_Interchange)
¿Cual es proposito del servicio común ACCEDA?,Servicio comun que nos proporciona lo siguiente: * Sede electronica * Creación y Gestión de procedimientos administrativos (Diseñador de formularios) * Tramitación de expedientes electrónicos
¿Cual es la utilidad de las guias CCN-STIC 800?,Serie de guías relacionadas con el cumplimiento de las medidas del ENS
En el contexto de SSOO. ¿a qué se refiere el concepto de multiprogramación?,Alojamiento de varios programas en memoria. Si estos programas se ejecutarán concurrentemente se habla de multitarea
En el contexto de SSOO. ¿qué es un algortimo de planificación apropiativo?,Aquel que expulsa de la CPU al proceso actual cuando llega un mejor candidato según su política
En el ambito de la seguridad de SI. ¿que representan los indicadores RTO y RPO?,RPO --> Cantidad maxima aceptable de perdida de datos Es el tiempo entre la última copia de seguridad creada y el momento del desastre. RTO --> Cantidad máxima de tiempo tolerable necesario para que todos los sistemas críticos vuelvan a estar disponibles
¿Cual es el uso de flag IF dentro del registro de flags de la cpu?,Para poder igonar a las interrupciones consideradas enmascarables (cuando IF=0)
En el ambito de LVM. ¿qué representa un PE - Physical Extent?,El tamaño del bloque fisico que manejamos para los PV (por defecto 4MB)
¿Para que se usa el software Apache Kafka?,Middleware de integración de sistemas basado en intercambio de datos de acuerdo a patrones de mensajería (pub/subs)
¿Qué uso tiene la dirección IP 0.0.0.0?,Poder publicar un servicio en cualquiera de las IP's que tenga ese host
¿Para que se usa el codigo de respuesta http 304?,El servidor el indica al cliente que el recurso solicitado no ha sido modificado (Not Modified) NOTA: Para ello hay dos estrategias que se basan en el intercambio de una cabeceras opcion1) (primera peticion) Servidor envia el recurso con Last-Modified:Fecha y hora (siguientes peticiones) El cliente incluye If-Modified-Since con la fecha de modificación que tiene del recurso opcion2) (primera peticion) Servidor envia el recurso con ETag:valor (similar a un hash del recurso) (siguientes peticiones) El cliente incluye If-None-Match con el valor de ETag que tiene del recurso
¿Qué es un certificado x509v3 de tipo SAN?,Un certificado que viene con un campo de extensión llamado subjectAltName y que sirve para especificar otros nombres para los que el certificado también será valido
¿Cómo se aplicará el siguiente selector CSS? tag1 ~ tag2 { ... },Se aplicará para los tag2 que sean hermanos de tag1 en ese orden (primero debe aparecer tag1 y luego tag2. aunque no inmediatamente)
En el ambito de la seguridad. ¿que significa usar sal (salt) y pimienta (pepper)?,Si se almacena unicamente el hash de una password está se podría averiguar facilmente mediante ataques de diccionario y rainbow tables. Para proteger este hash se pueden añadir a la password dos cadenas antes de hacer el hash de la misma: * salt --> codigo aleatorio y unico para cada cuenta de usuario (no tiene porque ser secreto. al atacante ya no le sirve sus ficheros de hash generados) * pepper --> codigo aleatorio y que comparten todas las cuentas de usuario (este código si lo protege el sistema para que sea secreto) Conclusion: en la BBDD/Fichero se almacenará el login del usuario y el siguiente calculo --> hash (password+salt+pepper)
¿Qué información relevante incluye el perfil XAdES-A?,Incluye (sobre el formato XAdES-XL) una seríe de sellos de tiempo periodicos
¿En qué consisten las pruebas de aceptación? Productos,Son pruebas de caja negra orientadas a probar la funcionalidad/especificaciones/requisitos del sistema desde el punto de vista del usuario Ejemplos de productos--> Cucumber.Behat(php).Selenium.JBehave(java).Spock(java).JGiven(java) Alias: pruebas funcionales NOTA: Gherkin es un lenguaje (DSL) que nos sirve para definir en un lenguaje de alto nivel los distintos comportamientos/historias de usuario/escenarios NOTA: Las prueba alfa y beta son un tipo de pruebas de aceptacion
¿Qué significa la siguiente cabecera de respuesta? Access-Control-Allow-Origin: *,Implica que el servidor al que le hemos enviado la request nos da permiso de acceso desde cualquier "origin" que vengamos Forma parte de la politica CORS y tipicamente se obtiene por parte del cliente mediante el verbo OPTIONS
¿Quién se encarga de la emision de los certificados de cl@ve firma?,La DGP (Direccion General de Policia)
¿Con que campo se identifica el circuito virtual en Frame Relay?,DLCI. Tiene un sentido local (hacia el switch que te da servicio). Un puerto del switch puede multiplexar varios DLCI
¿Qué utilidad tiene el operador proyeccion del algebra relacional?,Seleccionar de una relacion ciertos atributos (filtrado vertical)
¿Para que nos sirve la herramienta wsimport de la JDK?,Para la generación de las clases "cliente" de un servicio web dado (a partir de su WSDL)
¿A que se refieren las unidades de CSS vh y vw?,Son unidades relativas al viewport (zona util de visualización). Una diferencia con el % es que este está referido al parent Su valor representa el porcentaje del viewport. Ej: height:50vh (altura del 50% respecto del viewport)
¿Qué utilidad tiene la cabecera SMTP "Received"?,Es una cabecera que incluye los distintos MTA por los que va pasando el mensaje. Nos sirven para poder trazar el envio
¿Cada cuanto se tiene que realizar una auditoria según el ENS?,Según el articulo 34 del rd 3/2010 y su Anexo III de la siguiente forma y al menos cada dos años: * Sistema categoria BASICA --> No necesitan auditoria. solo una autoevaluacion (dará como resultado un distintivo de DECLARACION DE CONFORMIDAD) * Sistema categoria MEDIA o ALTA --> Auditoria formal (dará como resultado un distintivo de CERTIFICACION DE CONFORMIDAD) NOTA: Deberá realizarse una auditoria extraordinaria siempre que se produzcan modificaciones sustanciales en el sistema de información
¿Cual es el uso de los metodos wait() y notify() en Java?,Sirven para poder "ordenar" el trabajo que los distintos Threads que hacen sobre recursos compartidos (objetos con metodos o bloques de codigo synchronized) Ej. en un esquema de Threads productores y consumidores. cuando un hilo consumidor observa que el objeto/buffer está vacio debería de ejecutar un wait() y cuando un hilo productor alimenta a ese objeto/buffer debería de hacer un notify() por si hubiera algun consumidor esperando
¿Qué tipo de lenguaje es MDX? Productos,Es una extension de SQL para poder hacer consultas sobre cubos OLAP (esquemas multidimensionales)
En el contexto de arquitectura de computadoras. ¿diferencia entre modelo Von Neumann y Harvard?,La gran diferencia es la memoria en el modelo Von Neumann es unica. mientras que en el modelo Harvard es distinta para datos y para instrucciones
¿Para que sirve el servicio común de FIRe?,Servicio que se implanta en el organismo para poder ofrecer una solución integrada al ciudadano de firma local (con autofirma) y en la nube (cl@ve firma)
¿En que consiste un ataque de TearDrop?,Es un tipo de ataque de DoS que consiste en alterar la información de fragmentación de los paquetes IP
En el ambito de un CPD. ¿que se entiende por PUE?,Es una medida de la eficiencia energetica. basicamente el cociente entre la energia total consumida del datacenter y la consumida realmente por los equipos informaticos
¿Como podemos hacer para que un hipervinculo <a href=...> se abra en una nueva pestaña?,Con el valor predefinido _blank en el atributo target
En UML. ¿que diferencia fundamental existe entre las relaciones de agregación y composición?,Son dos tipos de asociaciones entre objetos que representan relaciones continente/contenido o todo/parte La diferencia es que el ciclo de vida de las "partes" en la composicion está ligado al "todo"
¿En que consiste el api CDI de JEE?,Es un API (en este caso con anotaciones como @Inject.@Named.@Scope.@Singleton.@Model.@Qualifier.@Stereotype) para que el contenedor sea el que nos "solucione" las dependencias entre las clases de las distintas capas (MVC por ej) de nuestra Arquitectura
¿En que consiste el protocolo EAP?,Un framework de autenticacion (proporciona transporte. solo define mensajes) para el acceso a redes y que puede utilizar disintos metodos de autenticacion (ejemplos): * EAP-TLS (Requiere autenticacion mutua) * EAP-MD5 (Seguridad minima) * EAP-LEAP (Usa canal TLS con autenticacion mutua) * EAP-PSK (Clave compartida) * EAP-SIM (autenticacion basada en el intercambio de clave de sesion a partir de la SIM) * EAP-PEAPv0/EAP-MSCHAPv2 (Usa canal TLS son con certificado de servidor + credenciales (user+pass)) NOTA: Tiene que ir encapsulado en otro protocolo de alto nivel --> Ej. PPP.802.1X.etc En 802.1X (norma del IEEE para el control de acceso a red basada en puertos) se definen tres entidades: - Supplicant (Ej: Dispositivo cliente). - Authenticator (Ej AP Wifi) - Authentication Server (Ej: RADIUS) NOTA: EAPOL y EAPOW se refieren a EAP sobre LAN y EAP sobre Wireless. respectivamente.
¿Cual es la utilidad de la etiqueta ID3?,Almacenar metadatos del archivo multimedia (Album. Genero. Artista. Año. etc) --> Catalogación
En Linux. ¿como podemos averiguar el estado de un determinado servicio?,* En el sistema SysV    --> service httpd status * En el sistema SystemD --> systemctl status httpd.service * En el sistema upstart --> initctl status cups
¿Cual es la utilidad de la propiedad z-index en CSS?,Proporcionar una vision 3D de los elementos de nuestra página. con lo cual. podemos jugar con el eje z para colocar a unos objetos por delante de otros
¿En que consiste la arquitectura MEAN?,Es un arquitectura software que maneja información/tecnologias Javascript de extremo a extremo. Componentes: * Capa Front --> Angular * Capa Back --> NodeJS(runtime js) + Express(FrameWork js) * Capa de BBDD --> MongoDB(nosql documental en formato json)
¿Como opera el algoritmo de cifrado simetrico AES?,* Divide a la información a cifrar en bloques fijos de 128 bits (a nivel logico son matrices de 4x4 bytes llamadas "estados") * Tiene tres tamaños de clave posibles: 128 bits. 192 bits y 256 bits (es simetrico. es decir. la misma clave se usa para cifrar y descifrar) (en funcion de la longitud elegida. el algortimo dará mas vueltas en un bucle en el que se realizan operaciones de permutación y transposición) NOTA: Está descrito en el estandar de EEUU FIPS 197
¿Cual es la utilidad del comando STARTTLS?,Es una extensión para protocolos de texto plano (SMTP. LDAP. FTP. etc) para que una vez que iniciamos la comunicación por el puerto estandar del servicio (no seguro) podamos iniciar una sesión SSL/TLS
Un dispositivo de almacenamiento.dividido en bloques de 4KB.siendo la dirección de cada bloque de 64 bits.,Cada inodo contiene 12 punteros directos. 1 puntero indirecto simple y 1 puntero indirecto doble. Determinar el tamaño máximo aproximado de los ficheros. Con los punteros directos --> 12*4KB=48KB Con el puntero indirecto simple --> 512*4KB=2MB Con el puntero indirecto doble --> 512*512*4KB=2^9*2^9*2^2 KB=2^20 KByte=2^30 Bytes=1GByte (Solucion aprox.) NOTA: Lo más dificil del problema es darse cuenta de que un Bloque de datos = Bloque de Inidices con lo cual el numero de punteros de un Bloque de Indices (si cada puntero ocupa 64bits) son (4KB*8bits)/64bits = 512 entradas NOTA: Importante manejarse bien con operaciones con potencias en base 2 y con algunos valores como 1KB=2^10B. 1MB=2^20B. ...
Considere un computador de 32 bits que dispone de un sistema de memoria virtual que emplea páginas de 16 KB y tiene instalada una memoria principal de 1 GB. Indique de forma razonada:,- El formato de la dirección virtual Una Direccion Virtual/Logica tiene dos partes: nº pagina y desplazamiento(dentro de una pagina dada). Si el tamaño de una pagina son 16KB --> Los bits necesarios para el desplazamiento son 14 bits (ya que 2^14 Bytes = 16KB) El tamaño total de la Direccion Virtual son 32 bits (por la arq. del computador) con lo cual podemos deducir lo siguiente: Bits del nº pagina --> 32 bits-14 bits(del desplazamiento calculado anteriormente) = 18 bits Bits del desplazamiento --> 14 bits - El número máximo de páginas en este computador. Si tenemos 18 bits para nºs de pagina entonces tendremos 2^18 paginas posibles - El número de marcos de página de este computador. Si la memoria principal es de 1 GB = 2^30B y cada marco ocupa 16KB (por definición son del mismo tamaño que la pagina). tendremos 2^30/2^14=2^16 marcos de pagina - El tamaño del bloque que se transfiere entre disco y memoria principal cuando ocurre un fallo de página Se refiere al tamaño de una pagina (que es la unidad minima con la que trabajamos). es decir. 16KB - El elemento del computador que genera el fallo de página y quién lo trata. La MMU genera la excepción y la rutina de fallo de página del sistema operativo trata la excepción Calcular su recorrido en postorden (RESOLVEMOS EN LA SIGUIENTE CLASE) Solucion (Postorden) --> IBAEDLFCHJKMG
El recorrido en preorden de un determinado árbol binario es: GEAIBMCLDFKJH y en inorden IABEGLDCFMKHJ.,Es un codigo de 128 bits cuya intención es garantizar una unicidad bastante probable. Formato (digitos hexadecimal) --> 8(time_low) 4(time_mid) 4(time_hi) 4(clock_seq) 12(48 bit node id) NOTA: Existen varias versiones(5) de algoritmos de generacion: unos usan fecha/hora+mac. otros numero aleatorios. etc
¿Qué es un UUID y que formato tiene?,Content Security Policy es una politica de seguridad basada en una cabecera http que el servidor envia al cliente para indicarle cuales son los dominios/origenes validos a la hora de acceder a scripts. imagenes. fuentes. css. etc Ej: Content-Security-Policy: "default-src 'none'  script-src 'self' *.example.com  style-src 'self' img-src 'self' data: font-src 'self' fonts.google.com " NOTA: self se refiere al mismo dominio al que te has conectado para acceder al site web
¿En que consiste la politica de seguridad HTTP CSP?,- PAP --> Envio del usuario y la contraseña en claro al servidor - Flujo en CHAP b.a) Cliente solicita acceso con el username b.b) El servidor el envia un código llamado "reto/challenge" b.c) El cliente envia respuesta al reto con un hash(password+codigo del reto) b.d) El servidor hace el hash internamente y si coincide con lo que le envia el cliente --> Ok
Diferencia entre los metodos de autentication CHAP y PAP,RIPv1         RIPv2 Classful      Classless No VLSM       VLSM Broadcast     Multicast (224.0.0.9)
Diferencias entre RIPv1 y RIPv2,- Desde la maquina cliente se envia una solicitud al DNS resolver que tenga configurado (ej. /etc/resolv.conf) - El resolver interroga al Root DNS por la localización del servidor DNS que lleva los dominios .com - El resolver interroga al Top Level Domain (del .com) del paso b) por la localización del servidor DNS que lleve la zona acme.com - El resolver interroga al servidor DNS (autoritativo) del paso c) por su registro de tipo A www.acme.com
Flujo para resolver una peticion DNS cuando alguien introduce www.acme.com en el browser,NOTA: El paquete para montar un servidor DNS en Linux es BIND
Funciones de correspondencia de la memoria cache,Tiene que ver con la forma de asignar/localizar un bloque de memoria dentro de la cache. Metodos: a) Directa. Aqui el bloque de memoria siempre estará en la misma posición en la cache. (se usa funcion hash) b) Completamente Asociativa. Aqui un bloque de memoria se puede ubicar en cualquier linea de cache (por eso hay que buscarlos en toda la tabla usando la etiqueta del bloque) c) Asociativa por conjunto. El conjunto se localiza de forma "Directa" y dentro del conjunto hay que buscar el bloque de forma "Asociativa"
¿Para que nos sirve el interface Serializable del paquete java.io?,Es un interface que simplemente "marca" la clase (de hecho este interface no tiene metodos) Objetivo funcional: Especificar que los objetos de una determinada clase (Ej. class Factura implements Serializable) se van a poder guardar en disco o transferir por la red.
¿En que consiste la técnica de autoload en PHP?,Es una tecnica a partir de PHP5 que le permite al desarrolador especificar donde están ubicadas las clases. con lo que evitamos la sentencia "require" con unos paths absolutos que daría como resultado con un codigo menos flexible a la hora de reorganizarlo en el futuro. NOTA: Se ha obsoletado la function __autoload($clase) en favor de otra llamada spl_autoload_register("funcionDeCargaPersonalizada")
¿Qué diferencia existe entre la organización física y lógica del Active Directory? Elementos que la componen,Organizacion logica --> Domain. Tree. Forest. Organizational Unit y sus Objetos (group. user. ...) Organizacion fisica --> Controlador de Dominio. Sites. Subnets(dentro de un site) y Links (tiene que ver con la infraestructura y replicacion)
¿Que parámetros determinan el rendimiento de una memoria RAM?,* Frecuencia (Ej. DDR4 3200MHz) * Latencia(s) --> Son los tiempos de respuesta de la memoria ante una petición (lectura o escritura). NOTA: Aunque existen varias latencias se suele manejar la de CAS como medida para especificar la calidad de un modulo de un fabricante (ej CL16) EJERCICIOS DE SUBNETTING - Indicar direcciones de red y de broadcast para la siguiente subred 132.27.31.77/26 Direccion de red --> 132.27.31.64 Direccion de broadcast --> 132.27.31.127 - A un organismo se le ha asignado el nuevo direccionamiento 10.253.113.0/25 y como este tiene 8 departamentos independientes con necesidad de 10 IP cada uno. la submascara será de 28 bits. sabiendo esto. indique cual sería la direccion broadcast de la tercera subred Direccion de broadcast de la 3ª subred --> 10.253.113.47
¿En cuantos bloques /56s puedes dividir la siguiente direccion IPv6? 2001:0db8:3a49:3a49::/48,El /48 llegaría hasta 2001:0db8:3a49 y con un /56 tendriamos 8 bits (haciendo 56-48) para los nuevos bloques Con lo cual tendriamos un total de 256 bloques Los bloque serían desde 2001:0db8:3a49:0000::/56 hasta 2001:0db8:3a49:ff00::/56
En los métodos Agile ¿Que elementos tenemos para organizar el trabajo en un proyecto?,De mas general (a nivel funcional) a más especifica tendriamos lo siguiente: Tema --> Iniciativa --> Epica --> Historia de usuario --> Tarea
En JSF. ¿cual es el uso de los Backing Bean?,Dar soporte a la capa de presentación en dos aspectos principalmente: - Es donde se almacena la información que el usuario introduce por ej en un formulario - Sirve de enlace para que desde la vista podamos invocar a la logica de negocio
En HTTP/2. ¿Que tipos de Frames existen?,Los Frame's de distintos Streams se multiplexan para aprovechar mejor el canal. Cada Frame lleva un "Stream Identifier" Cada transaccion request/response de un recurso representa un Stream y dentro de este se envian ordenadamente distintos tipos de Frame: * Frame de tipo HEADERS (solo contiene cabeceras) * Frame de tipo DATA (existen otros tipos de Frame como son: SETTINGS. WINDOW_UPDATE. CONTINUATION. PRIORITY. RST_STREAM. PUSH_PROMISE. PING y GOAWAY) NOTA:  The "h2" string identifies HTTP/2 when used over TLS The "h2c" string identifies HTTP/2 when used over cleartext TCP
Explique brevemente la utilidad del patron Facade,Cuando las clases de un subsistema utilizan los servicios de otro. la fachada nos proporciona un punto central donde están definidos esos servicios que el subsistema cliente demanda. La razon de centralizar dichos servicios tiene como objetivo desacoplar a las clases de un subsistema del otro. Cuantos menos detalles internos conozcan uno del otro. mejor podremos modificar cada uno de ellos sin que el otro se vea afectado
¿Cuales son los metodos del objeto Array en javascript?,El objeto "funcional" Array tiene definidos los siguientes metodos (en otros muchos) en su prototipo: * Array.prototype.pop() --> elimina el último elemento de un array y lo devuelve. Este método cambia la longitud del array. * Array.prototype.push() --> añade uno o más elementos al final de un array y devuelve la nueva longitud del array. * Array.prototype.map([funcionTransformacion]) --> crea un nuevo array con los resultados de la llamada a la función indicada aplicados a cada uno de sus elementos. * Array.prototype.sort([funcionComparacion]) --> ordena los elementos de un array localmente y devuelve el array ordenado
Explique el uso de la propiedad prototype de javascript,En Javascript cuando se usa el operador new sobre un objeto Funcional. se copian/duplican en cada instancia los metodos definidos en él. Para que esto no sea un problema de gasto de memoria se usa la propiedad prototype. para que dichos metodos queden asociados al objeto Funcional (similar al concepto de metodo en una clase) y no a cada una de las instancias. Ej. function Persona(){...} function Empleado(){...} Persona.prototype.informe = function() {...} Empleado.prototype.sueldo = function() {...} Otro uso de prototype es que nos va a permitir que un objeto Funcional "herede" los metodos de otro objeto Funcional Ej. Empleado.prototype = new Persona()
¿En que consiste una dependencia multivaluada?,Un dependencia multivaluada X ->-> Y se da cuando para cada valor de X hay un cojunto de valores definidos en Y NOTA: Toda dependencia funcional es un caso particular de multivaluada
¿Como funciona el control de flujo en TCP?,El mecanismo de control de flujo se basa en una estrategia de "Ventana Deslizante" con las siguientes premisas: - En el handshake 3-way de TCP los que intervienen en la sesion comunican cual será el tamaño de su ventana (El tamaño de ventana es la cantidad de bytes que el dispositivo de destino de una sesión TCP puede aceptar y procesar al mismo tiempo) - En cada envio de información cuando la entidades confirman a la otra parte con ACK tambien comunican el valor actual de la ventana
¿Qué dos modos de funcionamiento existen en FTP?,a) Modo pasivo (cliente inicia la comunicación con el comando "PASV" y cliente inicia la transferencia) Puerto del servidor para control --> 21 Puerto del cliente para control --> P>1023 Puerto del servidor para transferencia --> Q>1023 Puerto del cliente para transferencia --> P+1 b) Modo activo (cliente inicia la comunicación con el comando "PORT" y servidor inica la transferencia) Puerto del servidor para control --> 21 Puerto del cliente para control --> P>1023 Puerto del servidor para transferencia --> 20 Puerto del cliente para transferencia --> P+1 EJERCICIOS / LABORATORIOS - Ejercicio de Normalizacion (2017 promocion interna. aunque fue anulada) Una tienda mantiene una tabla de PEDIDOS con los siguientes cinco campos: ID-PEDIDO. ID-CLIENTE. NOMBRE-CLIENTE. DIRECCION-CLIENTE. IMPORTE-PEDIDO (siendo el campo ID-PEDIDO la clave primaria de dicha tabla) Premisas: * Todos los campos tienen datos atómicos y no nulos * Un pedido tiene un único cliente * Un cliente puede tener varios pedidos * Cada cliente de la tienda tiene un identificador ID-CLIENTE único y un nombre y dirección únicos asociados a dicho identificador ¿Qué forma normal cumple dicha relación? Analisis de las posibles claves: ID-PEDIDO (sería la PK) --> Por que lo dice el enunciado explicitamente [ID-PEDIDO.ID-CLIENTE] (¿sería una Clave Candidata?) --> No. porque es REDUCIBLE Conclusiones: * No se aprecian claves compuestas --> Está en 2FN * Como existe la DF(ID-CLIENTE --> NOMBRE-CLIENTE) => No está en 3FN porque NOMBRE_CLIENTE depende de un atributo que no es clave
¿En que consiste el formato de fichero ODF?,Formato de archivo estandar y abierto (de OASIS) para el almacenamiento de documentos ofimaticos. Ejemplos: * odt(texto).ods(hoja calculo).odp(presentacion).odg(graphics).odc(chart).odf(formula math).odb(bbdd).odi(imagen).odm(maestro) * ott(plantilla texto).ots(plantilla hoja calculo).otp(plantilla presentacion).otg(plantilla graphics) Es un contenedor ZIP con los siguientes archivos/directorios: * content.xml * meta.xml * settings.xml * styles.xml * META-INF/manifest.xml * Pictures/ * Thumbnails/
¿Para que sirve y donde se ubica el fichero Manifest.mf en aplicaciones Java?,Nos sirve para propocionar ciertos metadatos de configuración al entorno de ejecucion de Java. Ejemplos Main-Class:com.tai.app.Main (indica cual es la clase que tiene el metodo main y por la hay que empezar a ejecutar el programa) Class-Path:jar1-name jar2-name directory-name/jar3-name (rutas de ficheros jar donde el sistema tendrá que buscar clases) Otros atributos tipicos: Manifest-Version: 1.0 Created-By: 1.7.0_06 (Oracle Corporation) NOTA: Para generar un jar con su fichero de manifesto se puede hacer de dos formas: - Con el plugin de Maven "maven-jar-plugin" - Por linea de comando con la herramienta de la JDK jar cfm JarExample.jar com/baeldung/jar/example_manifest.txt com/baeldung/jar/*.class
¿Que diferencia hay entre el comando EXAMINE y SELECT en el protocolo IMAPv4?,Los dos seleccionan un buzon que se pasa como argumento (solo se puede seleccionar UNO en cada conexion) El matiz de EXAMINE es que el buzon queda en estado de read-only. NOTA: Existe un metadato que devuelve ambos comandos (como tambien STATUS) y se llama UIDVALIDITY. Este es un identificador unico de validación que nos sirve para saber si el buzon ha cambiado o no respecto a una sesion anterior (usado en sincronización de clientes offline en IMAP) NOTA: RFC 3501
¿En que consisten los principios SOLID?,Son unos principios de diseño o buenas practicas de software. a) Single Responsibility principle --> Una clase debería tener una responsabilidad unica b) Open-Closed principle --> Una clase debe estar abierta para su extensión. pero cerradas para su modificación c) Liskov substitution principle -->  Se debe poder reemplazar un objeto por instancias de sus subtipos sin alterar el correcto funcionamiento del programa d) Interface segregation principle -->  Muchas interfaces cliente específicas son mejores que una interfaz de propósito general e) Dependecy Inversion principle --> Se debe depender de abstracciones. no depender de implementaciones
¿Cual es la utilidad de la técnica OFDM y que diferencia tiene con OFDMA?,Tecnica con multiples subportadoras con frecuencias ortogonales para el envio de informacion. OFDM --> Para modular la información de un solo usuario OFDMA --> Para multiplexar el canal con soporte para multiples usuarios
¿Para que nos sirve un volumen en docker y como se utilizan?,Para poder asociarle a un contenedor un almacenamiento que sea persistente (su ciclo de vida no está ligado al contenedor) Se crean y se asocian con los siguiente comandos: * docker volume create mis-datos * docker run -d -it --name ubu1 -v mis_datos:/var/lib/mysql ubuntu:17.10 (la ruta /var/lib/mysql es interna del contenedor) NOTA: se almacenan en /var/lib/docker/volumes
Una fotografía digital de 6 megapíxels que mida 2000px x 3000px.,Indica a qué tamaño podría imprimirla con buena resolución NOTA: Una buena resolución de una fotografía impresa está entre 240ppp y 300ppp NOTA: Dividir el lado mayor (3000) entre 6. 12 y 40 pulgadas respectivamente a) ¿Si la imprimo a 10 x 15 cm (4 x 6 pulgadas)? Densidad sería de 500ppp (excesiva) b) ¿Si la imprimo a 20 x 30 cm (8 x 12 pulgadas)? Densidad sería de 250ppp (buena) c) ¿Y si me piden una copia impresa de 1 metro de lado (40 x 40 pulgadas)? Densidad sería de 75ppp (baja. salvo que lo veamos a cierta distancia)
¿Qué es el multiplicador de la CPU?,Factor que sirve para conocer la velocidad interna de la CPU con la siguiente formula: FrecuenciaCPU = Multiplicador * FrecuenciaBase (Ej. Multiplicador de 44 en un sistema con frecuencia base 100Mhz --> CPU de 4.4Ghz)
¿En que consiste y cual es la utilidad del codigo CRC?,Es un codigo que resulta de aplicar una división de polinomios. (Ej de polinomio divisor para  CRC-32 --> x32 + x26 + x23 + x22 + x16 + x12 + x11 + x10 + x8 + x7 + x5 + x4 + x2 + x + 1) El resto de la division es un codigo que nos va servir para DETECTAR posibles errores (por ej controlar la integridad en el envio de una determinada información)
¿En que consiste el sistema 6to4 de IPv6?,Técnica basada en tunneling para integrar redes IPv6 que están interconectadas mediantes redes IPv4. La creación de túneles automáticos proporciona comunicación entre islas IPv6 de manera transparente al usuario IPv6 (Ej. un ISP que trabaja con IPv4 y proporciona servicio a sites implementadas con IPv6) Formato dirección IPv6 en este contexto: 2002 (16 bits) + IPv4 del interfaz del router frontera en hexa (32 bits) + SubnetID (16 bits) + InterfaceID (64 bits) ACLARACION: Los routers que se sitúan en la frontera entre IPv4 e IPv6. marcan el prefijo asignado a la red IPv6. Mediante la concatenación del prefijo 2002::/16 y la dirección IPv4 del router frontera)
Utilidad de las librerías de Java "Apache Tika" y BouncyCastle,Apache Tika --> Extraccion de metadatos y contenido de diversos formatos de archivo (pdf. imagenes. etc) BouncyCastle --> Funciones de criptografia (hash. firma. cifrado. certificados. etc)
En el ambito de una MIB. ¿para que nos sirve la macro "OBJECT TYPE"?,Sirve para definir la información de un objeto gestionable Ej: udpInDatagrams OBJECT-TYPE SYNTAX      Counter32 MAX-ACCESS  read-only STATUS      current DESCRIPTION "The total number of UDP datagrams delivered to UDP users." ::= { udp 1 }
¿Que significa "VirtualHost" en la configuración de un servidor Apache?,Nos sirve para poder asociar en un mismo servidor fisico distintas configuraciones de sites (en funcion de la cabecera "Host" podremos distinguir)
En Linux. ¿cual es la utilidad del comando "nohup" ?,Hace que el proceso que arrancamos desde un terminal ignore la señal SIGHUP cuando cerramos dicho terminal (de otra forma. se aborta dicho proceso)
¿Para que nos puede servir el registro CNAME en un servidor DNS?,Proporcionar un alias para una entrada de tipo A o AAAA Ej. www.example.com.	IN	A		93.184.216.34 www.example.net.	IN	CNAME		www.example.com.
En el ambito de SQL. ¿en que consiste la restricción UNIQUE?,Se aplica sobre una columna o conjunto de ellas y nos dice que no puede haber valores duplicados (pero si admite un NULL)
En CSS. ¿en que consiste la unidad "rem" ?,Unidad relativa al font-size marcado en el elemento raiz "<html>"
En Linux. ¿para que sirve el permiso de ejecucion sobre un directorio?,Para poder (junto con otros permisos como lectura y escritura) acceder a él para listar su contenido. cd. etc
En el ambito de una JRE. ¿para que sirve el fichero cacerts y con que utilidad de la JDK se puede gestionar?,Es donde vamos a almacenar la parte publica de los certificados de las CA's en las que confiamos cuando hagamos peticiones https por ej dentro de esa JRE. Con la herramienta keytool podemos listar su contenido. importar nuevas CA's. etc NOTA: se encuentra en $JAVA_HOME/jre/lib/security/cacerts
¿Cuando se da en git un estado "detached HEAD" ?,Cuando realizamos un checkout usando el SHA-1 de un commit antiguo (nos movemos en la historia del proyecto) El problema surge cuando queremos hacer una modificación a partir de ese punto --> deberemos de crear una nueva rama para trabajar con esos cambios
¿Que son OSPF y IS-IS y sobre que nivel de transporte operan?,* OSPF sobre IP (con valor 89 en el campo "protocol") * IS-IS directamente sobre el nivel de enlace NOTA: Ambos son protocolos IGP de estado de enlace y usan el algortimo de Dijkstra. Soportan CIDR y VLSM
¿Que dos formas tenemos de representar/compatibilizar una direccion IPv4 con una IPv6?,* IPv4 Compatible Address (deprecated) --> 80 ceros + 16 ceros + Direccion IPv4 (::/96) * IPv4 Mapped Address --> 80 ceros + 16 unos (FFFF) + Direccion IPv4 (::FFFF:0:0/96) (permite al mismo nodo "server con dual-stack" capacidad de conexion con clientes nativos IPv4 e IPv6) NOTA: Ej. 192.100.10.1 --> ::FFFF:C064:0A01
¿Cuantos bits de una dirección IPv6 nos sirven para hacer subnetting?,El formato de una direccion global unicast es 48bits(prefijo) + 16bits(subnet) + 64bits(interface)
¿En que consiste la politica de rotacion de backup Abuelo-Padre-Hijo?,Es una politica de retención de backup con las siguientes caracteristicas: * Las copias que se hacen 1 vez al mes se guardan durante 12 meses (Abuelo) * Las copias que se hacen 1 vez a la semana se guardan durante 31 días (Padre) * Las copias que se hace 1 vez al dia y se guardan durante 7 días (Hijo)
